mergeKey,classification,severity,action,comment
a9924aa5779f703f97b9bc7f239b98a9,Intentional,Minor,Ignore,3rd party PW
b90b08bd442a0de8be01df99702721b7,Intentional,Minor,Ignore,3rd party PW
bea8d00124e4806a471b89c2874cab54,Intentional,Minor,Ignore,3rd party PW
c9f8e4ca2b5a381f231b0938e22751a4,Intentional,Minor,Ignore,3rd party PW
ff0fa4452283617642af5a066f525134,Intentional,Minor,Ignore,3rd party PW
3f4a4afc3d4488b535942bab999bed0e,Intentional,Minor,Ignore,3rd party PW
71779fb41d095e8c704f74f1b0176903,Intentional,Minor,Ignore,3rd party PW
adf81b263bdb9dc203ff01cfe50c3567,Intentional,Minor,Ignore,3rd party PW
b571944cde414d1be8f82b659bc52723,Intentional,Minor,Ignore,3rd party PW
3928929deceb3d00f4311149548162ec,Intentional,Minor,Ignore,3rd party PW
428ec1e2e5fb72d9bc020a2b795ffb55,Intentional,Minor,Ignore,3rd party PW
95364b92ebce5fa66abaeb5fbf9d17b6,Intentional,Minor,Ignore,3rd party PW
a0fb4276b8c7ae537b37013332be31e4,Intentional,Minor,Ignore,3rd party PW
adaab7a5b62a4640579a2cf9c3d7029a,Intentional,Minor,Ignore,3rd party PW
c11e700ceef6f1f916dd552fcd385724,Intentional,Minor,Ignore,3rd party PW
cf0488e2bfb8e56df39b6b6e2de8a8e2,Intentional,Minor,Ignore,3rd party PW
eb8434c1f9e5ea6442dee4006ce9f7e2,Intentional,Minor,Ignore,3rd party PW
34f23832c33b96702be7f5855f0339cf,Intentional,Minor,Ignore,3rd party PW
659b0315b905b5934e553cfe119672c4,Intentional,Minor,Ignore,3rd party PW
6b7ab775fc546fea071201083606ccec,Intentional,Minor,Ignore,3rd party PW
6bf9716bea94d5596bfbed76d18db6e9,Intentional,Minor,Ignore,3rd party PW
712f7aa6a6ca9622e4d2dc5bf501b7f4,Intentional,Minor,Ignore,3rd party PW
b6ddd51ed0d7c85c004a6c25ed6b694d,Intentional,Minor,Ignore,3rd party PW
b8d2e839cfaf359357b1e256c152624f,Intentional,Minor,Ignore,3rd party PW
caec2b1dd7b1e66afbe94f5ba9a6fe74,Intentional,Minor,Ignore,3rd party PW
8bfeffcd219c34d5798394a2e5e514ce,Bug,Unspecified,Undecided,
84c0e3fda85fcc98d07a6586d2724a43,Bug,Unspecified,Undecided,
452d2aded95017d941f7da05fbaf9bac,Intentional,Unspecified,Undecided,
1fd6486daaf337128004e66e85e0920b,Intentional,Unspecified,Undecided,
e6576d05a5d6dc6a9950c090f28c5b68,Bug,Minor,Ignore,
494be9554d64b0d9ce715ed4df6c1c40,Bug,Minor,Ignore,
62732f5323302c11069ecf6679cd624a,Bug,Minor,Ignore,
ed32c76b6ae4e490338f4182d6d1694e,Bug,Minor,Ignore,
9e03d94bddd708d09769309b3862181f,Bug,Minor,Ignore,
f70164b1c0f4ad21ff2090b3a8fa815f,Bug,Minor,Ignore,
be7e3a6dc13532ad41cfd3e11ead96c0,Bug,Minor,Ignore,
843aa42bbc1904881699d753c8e4955e,Bug,Minor,Ignore,
e781c97086c1bdbd79f036cdbbf1b12d,Bug,Minor,Ignore,
ee9c2820bd95dcac7186c24d3ad2c70e,Bug,Minor,Ignore,
ced410b09edb2496a78a244e64dd260e,Bug,Minor,Ignore,
a7149bce178dedd7c63d0666aed3f237,Intentional,Unspecified,Ignore,3rd party
c19efc6cef9ff7d260ea77661c97ca4b,Intentional,Unspecified,Ignore,3rd party
554582d8d955c619b3efd850d7ddce73,Intentional,Unspecified,Ignore,3rd party
d166f9fc7c0884c13ee34aa73795d640,Intentional,Unspecified,Ignore,3rd party
1c20f7dab6e1cfc980721b6990a72f2d,Intentional,Unspecified,Ignore,3rd party
ea58e788418bbccce8f2ecfd0b07cb66,Intentional,Unspecified,Undecided,
eb088ae4fba85c1bae72bde504c8c520,Bug,Unspecified,Undecided,
158cea43b08b7730cf7c9b1cd1db6d2a,Bug,Major,Undecided,
5be8b516119d0cd39e8aca90da1629ad,Intentional,Unspecified,Ignore,JS going away
bd603388dc10a1353bb7392c391508f4,Bug,Unspecified,Undecided,
